UTC,RA,DEC,RAERR,DECERR
2019-08-06T02:07:27.311,246.2436866,44.73438035,0.005474399,0.003888889
2019-08-06T02:08:24.711,253.6626271,44.43828062,0.005446585,0.003888889
2019-08-06T02:09:22.110,261.8098776,43.46647173,0.005358242,0.003888889
2019-08-06T02:10:19.583,270.6197169,41.60589005,0.005200928,0.003888889
2019-08-06T02:10:57.361,276.6555036,39.79859261,0.005061685,0.003888889
2019-08-09T01:32:25.320,240.3595244,43.20910235,0.005335578,0.003888889
2019-08-09T01:33:22.771,247.5367892,42.69703627,0.005291368,0.003888889
2019-08-09T01:34:20.170,255.3590419,41.51244351,0.005193413,0.003888889
2019-08-09T01:35:17.621,263.7494689,39.4642241,0.00503728,0.003888889
